# Vera source catalog — brick=1877p122 band=r
# Author: MaxKweeger | Software: vera / Claude Sonnet (Anthropic)
# Target journal: Journal of Open Source Software (joss.theoj.org)
ra,dec,x_image,y_image,flux_iso,flux_auto,a_image,b_image,theta,ellip,kron_rad,npix,flags
187.6938898,12.1195360,3234.0816,6.8642,20.484375,99.531479,14.649,0.684,-0.14,0.9533,3.500,217,0
187.8089462,12.2842489,1653.1536,2270.0962,9.310828,99.099945,32.636,1.276,-0.44,0.9609,3.500,449,0
187.7870168,12.3132804,1954.4744,2669.0021,88.019547,99.004570,2.597,0.500,0.01,0.8074,3.500,48,0
187.7766141,12.3390452,2097.4120,3023.0219,98.453247,98.498817,1.704,0.500,1.88,0.7066,3.500,138,0
187.7797440,12.3132807,2054.4053,2669.0051,89.521118,98.155357,2.692,0.500,-0.00,0.8143,3.500,60,0
187.9266957,12.1196068,35.2220,7.8372,29.577070,96.167709,13.930,0.838,-0.11,0.9398,3.500,248,0
187.7249290,12.2795113,2807.5890,2204.9987,66.000290,95.779541,2.993,0.500,0.01,0.8329,3.500,37,0
187.7057588,12.2768914,3070.9963,2169.0000,18.303946,95.210663,3.118,0.500,0.00,0.8396,3.500,11,0
187.8701556,12.1630827,812.1093,605.2159,103.959084,94.952950,3.957,2.221,-39.66,0.4387,3.500,307,0
187.7651806,12.3132805,2254.5139,2669.0027,85.968849,94.875679,2.532,0.500,0.02,0.8025,3.500,53,0
187.7942937,12.3132805,1854.4860,2669.0037,86.704956,94.359291,2.564,0.500,-0.02,0.8050,3.500,62,0
187.7805340,12.2873706,2043.5501,2312.9898,80.928337,92.574074,3.337,0.500,0.02,0.8502,3.500,93,0
187.8384021,12.2247829,1248.4159,1453.0051,63.003315,92.571831,2.844,0.500,0.05,0.8242,3.500,43,0
